ImageNumber	ObjectNumber	AreaShape_Area	AreaShape_BoundingBoxArea	AreaShape_BoundingBoxMaximum_X	AreaShape_BoundingBoxMaximum_Y	AreaShape_BoundingBoxMinimum_X	AreaShape_BoundingBoxMinimum_Y	AreaShape_Center_X	AreaShape_Center_Y	AreaShape_CentralMoment_0_0	AreaShape_CentralMoment_0_1	AreaShape_CentralMoment_0_2	AreaShape_CentralMoment_0_3	AreaShape_CentralMoment_1_0	AreaShape_CentralMoment_1_1	AreaShape_CentralMoment_1_2	AreaShape_CentralMoment_1_3	AreaShape_CentralMoment_2_0	AreaShape_CentralMoment_2_1	AreaShape_CentralMoment_2_2	AreaShape_CentralMoment_2_3	AreaShape_Compactness	AreaShape_ConvexArea	AreaShape_Eccentricity	AreaShape_EquivalentDiameter	AreaShape_EulerNumber	AreaShape_Extent	AreaShape_FormFactor	AreaShape_HuMoment_0	AreaShape_HuMoment_1	AreaShape_HuMoment_2	AreaShape_HuMoment_3	AreaShape_HuMoment_4	AreaShape_HuMoment_5	AreaShape_HuMoment_6	AreaShape_InertiaTensorEigenvalues_0	AreaShape_InertiaTensorEigenvalues_1	AreaShape_InertiaTensor_0_0	AreaShape_InertiaTensor_0_1	AreaShape_InertiaTensor_1_0	AreaShape_InertiaTensor_1_1	AreaShape_MajorAxisLength	AreaShape_MaxFeretDiameter	AreaShape_MaximumRadius	AreaShape_MeanRadius	AreaShape_MedianRadius	AreaShape_MinFeretDiameter	AreaShape_MinorAxisLength	AreaShape_NormalizedMoment_0_0	AreaShape_NormalizedMoment_0_1	AreaShape_NormalizedMoment_0_2	AreaShape_NormalizedMoment_0_3	AreaShape_NormalizedMoment_1_0	AreaShape_NormalizedMoment_1_1	AreaShape_NormalizedMoment_1_2	AreaShape_NormalizedMoment_1_3	AreaShape_NormalizedMoment_2_0	AreaShape_NormalizedMoment_2_1	AreaShape_NormalizedMoment_2_2	AreaShape_NormalizedMoment_2_3	AreaShape_NormalizedMoment_3_0	AreaShape_NormalizedMoment_3_1	AreaShape_NormalizedMoment_3_2	AreaShape_NormalizedMoment_3_3	AreaShape_Orientation	AreaShape_Perimeter	AreaShape_Solidity	AreaShape_SpatialMoment_0_0	AreaShape_SpatialMoment_0_1	AreaShape_SpatialMoment_0_2	AreaShape_SpatialMoment_0_3	AreaShape_SpatialMoment_1_0	AreaShape_SpatialMoment_1_1	AreaShape_SpatialMoment_1_2	AreaShape_SpatialMoment_1_3	AreaShape_SpatialMoment_2_0	AreaShape_SpatialMoment_2_1	AreaShape_SpatialMoment_2_2	AreaShape_SpatialMoment_2_3	AreaShape_Zernike_0_0	AreaShape_Zernike_1_1	AreaShape_Zernike_2_0	AreaShape_Zernike_2_2	AreaShape_Zernike_3_1	AreaShape_Zernike_3_3	AreaShape_Zernike_4_0	AreaShape_Zernike_4_2	AreaShape_Zernike_4_4	AreaShape_Zernike_5_1	AreaShape_Zernike_5_3	AreaShape_Zernike_5_5	AreaShape_Zernike_6_0	AreaShape_Zernike_6_2	AreaShape_Zernike_6_4	AreaShape_Zernike_6_6	AreaShape_Zernike_7_1	AreaShape_Zernike_7_3	AreaShape_Zernike_7_5	AreaShape_Zernike_7_7	AreaShape_Zernike_8_0	AreaShape_Zernike_8_2	AreaShape_Zernike_8_4	AreaShape_Zernike_8_6	AreaShape_Zernike_8_8	AreaShape_Zernike_9_1	AreaShape_Zernike_9_3	AreaShape_Zernike_9_5	AreaShape_Zernike_9_7	AreaShape_Zernike_9_9	Children_SpeckleFinalEdge_Count	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number	Parent_NucleiShrinked
1	598	66	99	1371	1336	1360	1327	1365.409090909091	1331.6060606060605	66.0	-7.105427357601002e-15	481.95454545454544	-47.00826446280996	-2.042810365310288e-14	-41.36363636363637	318.0550964187326	-367.3003380916605	299.75757575757575	54.59228650137735	1860.5844394356789	757.2163388202079	1.1437185011381779	77	0.6384447603487672	9.166995688475081	1	0.6666666666666666	0.8743410192323062	0.17945640982831063	0.002110149907732632	0.000932466234428609	3.605239715648552e-05	-6.308302235203183e-09	-1.5529547131395247e-06	1.9750205868240053e-09	7.437961669304506	4.406161379363999	7.3023415977961434	0.6267217630853995	0.6267217630853995	4.541781450872361	10.909050678627912	10.198039027185569	3.605551275463989	1.6784778901604611	1.4142135623730951	8.0	8.396343374935542	nan	nan	0.11064153936054762	-0.0013283556843613545	nan	-0.009495784289172719	0.008987574846592569	-0.0012775841684463801	0.06881487046776302	0.0015426643575356838	0.006471688091088846	0.0003242023824306807	-0.002987035791716933	-0.0011283851283809894	0.0010412106405129115	-3.414075419611178e-05	-77.7896918106765	30.79898987322333	0.8571428571428571	66.0	357.0	2413.0	18219.0	304.0	1603.0	10985.0	85081.0	1700.0	8869.0	61223.0	480427.0	0.7161972439135467	0.10386891647100416	0.1150153443775867	0.06703267579845462	0.020581847960643482	0.044457864980966356	0.01189956667936417	0.021226689488196795	0.019128966955082278	0.022859841439914336	0.025896116661079247	0.01389434739189854	0.00031526871780655617	0.018431202466929142	0.008270390487057267	0.01229884587028778	0.02390083022552549	0.01140593491157414	0.009488806535376529	0.0077915776436181736	0.012381185831566275	0.005614801502473489	0.01638605588182503	0.0139048923816009	0.004338584028963262	0.021737115898578185	0.022430848872128706	0.002149770097166556	0.022551090041384	0.007935408581450096	1	1365.409090909091	1331.6060606060605	0	598	40
1	599	20	25	776	1336	771	1331	772.75	1332.95	20.0	0.0	31.75	7.125	6.661338147750939e-16	-8.25	-0.474999999999998	-25.659375	32.95	-6.574999999999997	38.935625	-15.693125000000007	0.7420983898833913	20	0.638168270197698	5.046265044040321	1	0.8	1.347530211131618	0.16175	0.0017105625000000003	0.00023429981249999978	3.857312500000003e-06	-3.139806066796908e-11	-3.8198765625000285e-08	-1.1162971406249997e-10	2.031089470368867	1.203910529631133	1.5875	0.4125	0.4125	1.6475000000000002	5.700651850964228	5.0	2.23606797749979	1.2946461113496084	1.0	3.5355339059327378	4.388914270534129	nan	nan	0.079375	0.0039829960849215	nan	-0.020625	-0.0002655330723280989	-0.003207421875	0.082375	-0.0036755367380152774	0.004866953125	-0.00043863617849251754	0.002205322042809167	-0.003396796874999999	0.0003573620952228297	-0.0004503203613281249	-42.920178853143675	13.65685424949238	1.0	20.0	35.0	93.0	281.0	39.0	60.0	152.0	444.0	109.0	152.0	356.0	968.0	0.8484868326115202	0.0857539951332831	0.11299848170777527	0.021621357979838125	0.0452732668911322	0.0548967149261141	0.06515855008701416	0.03129526562234709	0.05212529379894346	0.03440432687760314	0.033531042113199794	0.022685071105459656	0.03854798523877045	0.01532209676395651	0.02140142828335991	0.0068631152622633945	0.032777662471648976	0.02196263017012845	0.013137778700423734	0.03628131666543839	0.030223112545704672	0.024810781833924832	0.03595711848796661	0.029829828026990607	0.02602327707581313	0.08048125313650326	0.06743493747351297	0.06395983323692307	0.03232061691023543	0.022729098673621204	1	772.75	1332.95	0	599	39
1	600	23	30	1351	1338	1346	1332	1347.9130434782608	1334.4347826086957	23.0	4.440892098500626e-16	37.826086956521735	1.8827977315689903	-3.552713678800501e-15	-8.130434782608695	-4.935727788279778	-18.62488698939755	47.65217391304348	-1.4083175803402619	52.273773321278874	-6.551502460325686	0.7858693442525693	24	0.6030744410856831	5.4115163798060095	1	0.7666666666666667	1.2724761530825304	0.16158461412016106	0.001289903423351617	7.27676519621279e-05	1.9627542271338316e-07	-1.6879118227517022e-14	-2.2713896902229686e-09	-7.415758777650487e-13	2.2712481557336384	1.445197969030067	1.6446124763705106	0.3534971644612476	0.3534971644612476	2.071833648393195	6.028264301748739	5.385164807134504	2.23606797749979	1.3279653811680459	1.0	4.0	4.808655477831727	nan	nan	0.0715048902769787	0.0007421369863631334	nan	-0.015369441933097723	-0.0019455016781065777	-0.001530770690342529	0.09007972384318237	-0.0005551125048599755	0.0042963568111513825	-0.000112277693491271	0.00234711998699184	-0.0031614428309340572	-0.0001685195779717664	-0.00022755637418711916	-29.428175750849274	15.071067811865474	0.9583333333333334	23.0	44.0	122.0	380.0	56.0	99.0	261.0	789.0	184.0	311.0	769.0	2201.0	0.9220010496358076	0.04076459445517097	0.0590444021934261	0.03661778377520042	0.023896486404755394	0.03514189177169912	0.03147990673973111	0.03242263171199281	0.017597585058301578	0.0035384249645986454	0.010906104342941087	0.030294734285947506	0.013895659639959819	0.04462599076293685	0.016933017779149653	0.10660524833130504	0.01242042319883466	0.008983955684798239	0.0010446460098602543	0.026116150246506483	0.025017600334316523	0.01572647253184441	0.01178622143797987	0.02932024082630404	0.0752347351164975	0.018564152085293245	0.018234476213491935	0.015813779252712264	0.006303898335363652	0.022513922626298685	1	1347.9130434782608	1334.4347826086957	0	600	40
1	601	33	42	2000	1340	1993	1334	1996.030303030303	1336.1818181818182	33.0	-8.881784197001252e-16	104.96969696969697	-8.543617998163466	5.329070518200751e-15	2.818181818181818	-16.261707988980696	4.2887553218131735	70.9090909090909	5.79338842975207	146.9639368895567	-5.436142036442581	0.8240021166139271	34	0.5728604101637417	6.4820448144285745	1	0.7857142857142857	1.213589115655796	0.16150485571973175	0.001005036153552485	0.00012153741348041513	2.26347985533465e-07	1.1871444340307234e-12	5.8380674911039735e-09	-1.0312254146828693e-14	3.187918154800457	2.1417420839506907	3.1808999081726355	-0.08539944903581266	-0.08539944903581266	2.1487603305785123	7.141896840252407	6.324555320336759	3.0	1.5034627751130463	1.4142135623730951	5.0	5.853876778956921	nan	nan	0.09639090630826168	-0.0013657052291103837	nan	0.002587862091994323	-0.0025994490436710787	0.00011934093891569062	0.06511394941147007	0.0009260784920955935	0.004089488184588493	-2.6332494730950222e-05	0.0024175800863551213	0.0006100708797370107	-0.00026044615237308963	2.294378877817558e-05	85.30191003830264	18.48528137423857	0.9705882352941176	33.0	100.0	408.0	1864.0	72.0	221.0	891.0	4001.0	228.0	709.0	2779.0	12049.0	1.050422624406509	0.06122812911372107	0.0763943726841097	0.10676438151257653	0.05231333644664178	0.0523133364466418	0.12032113697747274	0.09551206253883075	0.04966552341184686	0.04052673669125472	0.041113144444487534	0.03940066978380958	0.16042818263663017	0.08292094726082316	0.09337708267094025	0.031559666752044295	0.029407122188628586	0.03198646774209812	0.03239337761471284	0.024799508728658874	0.16020536571630095	0.07248141563916555	0.1067222072307991	0.041558156942077	0.03396449492744607	0.022021288126718875	0.027601320799103678	0.03258611894342901	0.03049224112561922	0.013504239692972502	1	1996.030303030303	1336.1818181818182	0	601	38
1	602	51	64	1369	1342	1361	1334	1364.6470588235295	1338.0392156862745	51.0	-2.6645352591003757e-15	259.6470588235294	-52.837370242214476	7.105427357601002e-15	-25.294117647058822	-56.286043829296396	-177.2033380826379	185.92156862745097	59.63091118800457	903.5377795870367	279.0497798956751	1.0466525839149892	56	0.5781561347376875	8.058239062071396	1	0.796875	0.9554268678719678	0.1713066618419763	0.001181726522955499	0.00021002199101057478	2.2661337599329408e-05	-4.667144083163749e-10	-5.672283487670224e-07	-1.4920761692545256e-09	5.24491423672399	3.491725517216801	5.091118800461361	0.49596309111880044	0.49596309111880044	3.64552095347943	9.160711096175005	8.602325267042627	3.0	1.6463527458599538	1.4142135623730951	6.864064729836441	7.474463745009993	nan	nan	0.09982585883257569	-0.0028445642922947773	nan	-0.009724766492525499	-0.003030227842479485	-0.0013358613058524844	0.0714808030094006	0.0032103028577087976	0.0068113906384952745	0.00029456834041229513	-0.001716094196857743	-0.002264800988179745	-0.0007136002545028328	-0.0002971432436727232	-72.77162319734317	25.899494936611664	0.9107142857142857	51.0	186.0	938.0	5262.0	206.0	726.0	3548.0	19452.0	1018.0	3568.0	17170.0	92854.0	0.8775029294796391	0.11402608660761222	0.01906604139303926	0.0683840365969066	0.02237052132466023	0.028566524500211632	0.04226703836835281	0.03586418846469018	0.084952124062529	0.02169841593814858	0.047403483505748016	0.022057740697691435	0.0429328161504327	0.03541274420845075	0.07125552972268365	0.020150802183913845	0.03321252686430916	0.03625743019114124	0.030438489923307756	0.010483210469544457	0.07285631424168526	0.03848462385158191	0.09403342574971821	0.01833361075152592	0.008334983627845073	0.030365795412972508	0.035614899318529535	0.01836531747474636	0.018079902747606798	0.0064870269309286	1	1364.6470588235295	1338.0392156862745	0	602	40
1	603	58	88	768	1355	757	1347	762.2931034482758	1350.0689655172414	58.0	1.7763568394002505e-15	412.01724137931035	-220.75148632580297	-6.217248937900877e-15	159.82758620689654	2.5493460166468216	2369.7040776579606	245.72413793103448	136.85136741973838	1770.4086883431055	873.2765859679519	1.0866163758223102	62	0.8413437175055065	8.593479713983122	1	0.6590909090909091	0.9202879896258124	0.1955235967034319	0.011472882198283883	0.0006194128641806636	2.586625933344709e-05	-3.0317338816325677e-09	-2.640113256538349e-06	-1.2362248773150345e-09	8.776418991083187	2.5639496177158634	7.103745541022593	-2.7556480380499404	-2.7556480380499404	4.236623067776457	11.850008601572025	11.180339887498949	3.1622776601683795	1.6355682202177417	1.4142135623730951	6.10170215847752	6.404935119378948	nan	nan	0.12247837139694125	-0.008616554761570454	nan	0.04751117306982656	9.950818417688377e-05	0.012145352810990408	0.07304522530649063	0.0053416958644057965	0.009073807291930304	0.0005876974937644461	0.0037917073761729375	0.006627096628244001	0.0007482908190626307	0.001463860719755116	58.74232381961277	28.14213562373095	0.9354838709677419	58.0	307.0	2037.0	14923.0	178.0	1102.0	7946.0	61642.0	792.0	5310.0	39690.0	314730.0	0.5907831487571155	0.05508688216509626	0.15172941006699997	0.1123392039211668	0.04415734986411749	0.00487753512562785	0.018233605153916164	0.007509259987440516	0.059654028649282625	0.005112075234341202	0.01039232622787668	0.0004660166809221959	0.031778703087404	0.011377372215852593	0.010795972573052969	0.028999720343744078	0.0237704601665018	0.01008718953763129	0.0010972563843732255	0.001446264611744116	0.023357679550463323	0.01657792247648079	0.012066402196031256	0.024754230170504942	0.0163194309801733	0.004195311233284285	0.005280381783575854	0.0035361411980737085	0.0045014436891457135	0.00021925861348534708	1	762.2931034482758	1350.0689655172414	0	603	39
1	604	47	56	760	1364	753	1356	755.9148936170212	1359.4255319148936	47.0	4.884981308350689e-15	169.65957446808508	15.34631054775921	-7.993605777301127e-15	-43.29787234042553	33.28972385694879	-281.64477042659144	195.48936170212767	-38.789044816659086	619.5946081311463	-227.0400944242049	0.9012134599191938	48	0.6298919777365376	7.735777827895049	1	0.8392857142857143	1.10961502959539	0.16530055960625295	0.0016734702340966657	0.00011842268907445777	7.4685249619080066e-06	2.0378301465074897e-10	3.0462743358949115e-07	-8.834986757437557e-11	4.845902808089699	2.9232234934041905	3.6097781801720235	0.9212313263920325	0.9212313263920325	4.159348121321866	8.805364554033819	8.602325267042627	3.605551275463989	1.6694141179002935	1.4142135623730951	6.0	6.8389747692521174	nan	nan	0.07680379106748986	0.0010133496865427553	nan	-0.019600666518979414	0.0021981916194482084	-0.0027127396668039975	0.0884967685387631	-0.002561323536619931	0.005967797194563308	-0.0003189775044341603	5.398553197333354e-05	-0.004318351900325044	0.0005708061540383771	-0.0005529504971295468	-36.695602514664216	23.071067811865476	0.9791666666666666	47.0	137.0	569.0	2663.0	161.0	426.0	1730.0	8028.0	747.0	1842.0	7230.0	32796.0	0.8086791703047655	0.07925238949169011	0.11393122295840565	0.08490630322807541	0.02679286767588056	0.018030626816654474	0.019015768376841498	0.04709733989127119	0.054424692043792376	0.015074711073555971	0.02993750677778947	0.026401147067685093	0.034442111333664	0.02997989385780011	0.03575850055614557	0.021703632792467394	0.014443916330606547	0.033632355588534134	0.01823006500180125	0.017635381879249477	0.04371849268918556	0.03724572239805856	0.04735789074150776	0.03950698273474315	0.015006518433480182	0.017693442088504322	0.015436773029467138	0.011659781929273246	0.02301633098993441	0.01297371117538321	1	755.9148936170212	1359.4255319148936	0	604	39
1	605	51	64	742	1376	734	1368	737.2941176470588	1371.7450980392157	51.0	1.2434497875801753e-14	234.58823529411768	40.71280276816623	-8.881784197001252e-16	-48.17647058823529	-22.73933102652828	-477.9627518827601	195.68627450980392	-29.08996539792382	784.6148540154239	-126.1853865095799	0.9807664994454768	55	0.6237315771865855	8.058239062071396	1	0.796875	1.0196106826297573	0.1654265704744028	0.0015959986741296648	7.184807195626051e-05	3.931582891304105e-07	1.4339501278267494e-12	3.9654481646112216e-09	1.519909799329993e-12	5.237101326074092	3.199653768120449	4.599769319492504	0.944636678200692	0.944636678200692	3.8369857747020375	9.153885580297882	9.219544457292887	3.605551275463989	1.701577375530021	1.4142135623730951	6.640783086353597	7.155030418518651	nan	nan	0.09019155528416674	0.002191823409504944	nan	-0.018522287807856704	-0.001224199629395146	-0.0036031598094455383	0.07523501519023604	-0.0015660937789994873	0.005914880807648822	-0.00013320282819182777	0.0012644577793515825	-0.0030116736893214674	0.00010423428522970725	-0.0005160906360375719	-55.993058682740745	25.071067811865476	0.9272727272727272	51.0	168.0	788.0	4182.0	191.0	581.0	2611.0	13391.0	911.0	2611.0	11221.0	55321.0	0.7639437268410977	0.05430106114704268	0.14961666068929455	0.06944704967538497	0.002861114764361592	0.010762478571189393	0.04373123015200291	0.020927770345058678	0.046831876128773424	0.024499661614274235	0.007999603363165188	0.011978498055924686	0.02021682619415883	0.015194901086038208	0.02473053286458777	0.03399205200481359	0.014625470816281115	0.0066275921717531255	0.004205435374698466	0.004271505477928631	0.03792197282609899	0.02507498613919004	0.014644812711754973	0.03574474591972322	0.03362465035510942	0.005343037209107239	0.0035463840163227093	0.014693430929384436	0.005425793054407413	0.006648278464719687	1	737.2941176470588	1371.7450980392157	0	605	39
1	606	96	144	552	1413	540	1401	545.4791666666666	1406.9375	96.0	-3.2862601528904634e-14	709.9583333333334	-115.1267361111122	0.0	-105.125	66.49479166666671	-1255.9259440104167	783.625	107.19270833333314	3534.2121853298613	107.85147659866618	0.993937546975862	101	0.5095070755724604	11.055812783082736	1	0.6666666666666666	1.0060994305352318	0.16206416377314814	0.0005843532265295543	3.915458463158602e-05	1.0582690530989446e-06	2.8451359874154226e-12	4.2265828993654886e-09	-6.189576441923424e-12	8.939403020374984	6.618756701847241	7.395399305555557	1.0950520833333333	1.0950520833333333	8.162760416666668	11.959533783806112	11.704699910719626	5.0	2.1727483320166976	2.0	9.192388155425117	10.290777775734732	nan	nan	0.07703540943287038	-0.0012749645508910005	nan	-0.011406792534722222	0.000736392822880518	-0.0014195488190945284	0.08502875434027778	0.001187099607402201	0.003994651721338186	1.2441615619068513e-05	-0.001761355653818623	-0.0021769707953488387	4.0669863673646835e-05	-0.00018415509251926292	-35.34536825665046	34.62741699796952	0.9504950495049505	96.0	526.0	3592.0	27346.0	570.0	3018.0	20242.0	152736.0	4168.0	21696.0	141976.0	1046442.0	0.8914259235534109	0.07522922147005978	0.06956289163648638	0.05490299491767256	0.03214323226226609	0.01339092100510329	0.02002392565979869	0.027348745048153926	0.027523974902074696	0.0028379885993196946	0.00885237689097136	0.01681364730029577	0.010226142356818475	0.020597084748980584	0.02164925034694444	0.014831226946637228	0.0116825596970288	0.014240807676808277	0.01251701993638425	0.018717009519733794	0.015180543245363392	0.01152618318322963	0.02474820398929871	0.014425110647204305	0.015406590001963602	0.008631211871720949	0.01030843805322292	0.016119129769711155	0.008768979137089147	0.013911218848289005	1	545.4791666666666	1406.9375	0	606	41
1	607	153	225	527	1425	512	1410	517.9607843137255	1416.313725490196	153.0	-2.1316282072803006e-14	1997.764705882353	2041.040369088812	1.0125233984581428e-13	-201.11764705882356	-169.5974625144165	-2372.6129995250694	1942.941176470588	-1902.0242214532877	17530.69984395142	-24714.66427605035	1.1593795672291172	165	0.4321909822857804	13.957279475043833	1	0.68	0.8625302948800196	0.1683414875626016	0.00030073810351757753	0.0007451540026483556	9.657499251088185e-06	-2.1513223212851425e-10	-7.219636723023761e-08	-7.905060364976025e-10	14.204771666780909	11.551475930297139	13.057285659361783	1.314494425221069	1.314494425221069	12.698961937716263	15.075687270187537	15.0	5.830951894845301	2.447694988526914	2.23606797749979	12.690895300545654	13.594984916679909	nan	nan	0.08534173633569793	0.00704892707422135	nan	-0.008591466831510255	-0.0005857209702181506	-0.0006624492505745568	0.08299975122690367	-0.006568821584069059	0.004894687408354315	-0.0005578721838410847	0.0036560626400350153	-0.0023699235205145606	0.0002623529011568905	-0.0002152315793744414	-48.88071343303302	47.21320343559643	0.9272727272727272	153.0	912.0	7434.0	70170.0	966.0	5557.0	44369.0	416191.0	8042.0	43495.0	327815.0	2955769.0	0.7784487588247638	0.07016347182755442	0.12484051196854085	0.02942977862809287	0.00391831599654314	0.07269078510704348	0.028079973995137012	0.014499853847108859	0.011845593568978125	0.025380843914914734	0.010453122770740588	0.0158316766707665	0.007387969634262646	0.010860215078056314	0.012935522014847555	0.02539068734427934	0.011880419818570475	0.004725166487966165	0.0045958741118422705	0.003989194769579961	0.008539485681434882	0.013894316651488789	0.008482721679208684	0.0148107243569806	0.013810482465948536	0.002958777816526406	0.0128327455848297	0.011151248161591066	0.009357213596861305	0.009325226274133708	1	517.9607843137255	1416.313725490196	0	607	41
