ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number	Parent_SpeckleFinal
1	1	1320.6685393258426	27.85112359550562	0	1	1
1	2	1340.4516129032259	36.30769230769231	0	2	2
1	3	1568.3066666666666	43.24	0	3	3
1	4	1544.463054187192	48.96551724137931	0	4	4
1	5	643.540404040404	50.63131313131313	0	5	5
1	6	1323.9444444444443	52.333333333333336	0	6	6
1	7	605.1714285714286	62.86666666666667	0	7	7
1	8	632.3235294117648	63.411764705882355	0	8	8
1	9	1321.75	63.45	0	9	9
1	10	1554.8709677419354	65.64516129032258	0	10	10
1	11	1592.423076923077	72.53846153846153	0	11	11
1	12	617.515625	73.984375	0	12	12
1	13	1307.4692737430169	76.20111731843575	0	13	13
1	14	1355.0594059405942	77.06930693069307	0	14	14
1	15	1353.5	83.41666666666667	0	15	15
1	16	1548.4516129032259	85.35483870967742	0	16	16
1	17	1562.55421686747	87.04819277108433	0	17	17
1	18	1343.1818181818182	87.36363636363636	0	18	18
1	19	725.10625	88.19375	0	19	19
1	20	709.4113475177305	93.23404255319149	0	20	20
1	21	1315.4444444444443	90.35672514619883	0	21	21
1	22	1582.3088235294117	93.17156862745098	0	22	22
1	23	1347.695652173913	97.41304347826087	0	23	23
1	24	1568.7235772357724	96.34146341463415	0	24	24
1	25	676.0483870967741	107.09677419354838	0	25	25
1	26	717.204081632653	108.63265306122449	0	26	26
1	27	1521.625	108.15625	0	27	27
1	28	677.0133333333333	113.44	0	28	28
1	29	1520.9285714285713	117.25510204081633	0	29	29
1	30	731.4545454545455	116.78181818181818	0	30	30
1	31	1336.6	119.625	0	31	31
1	32	1593.4107142857142	119.66071428571429	0	32	32
1	33	676.0444444444445	123.14074074074074	0	33	33
1	34	713.8192771084338	125.56626506024097	0	34	34
1	35	685.40625	126.90625	0	35	35
1	36	1327.5131578947369	130.32894736842104	0	36	36
1	37	1302.532894736842	139.59868421052633	0	37	37
1	38	1555.9895287958116	141.42931937172776	0	38	38
1	39	1839.0851063829787	148.4595744680851	0	39	39
1	40	1861.554347826087	151.33695652173913	0	40	40
1	41	1870.3584905660377	151.9245283018868	0	41	41
1	42	1577.7238805970148	154.52985074626866	0	42	42
1	43	1805.98	164.85	0	43	43
1	44	1542.4876033057851	163.61157024793388	0	44	44
1	45	1837.5384615384614	166.87179487179486	0	45	45
1	46	1840.3030303030303	171.3030303030303	0	46	46
1	47	1560.861111111111	174.2314814814815	0	47	47
1	48	1873.8732394366198	182.91549295774647	0	48	48
1	49	1800.05	184.5625	0	49	49
1	50	1802.5833333333333	190.79166666666666	0	50	50
1	51	2121.4528301886794	196.74528301886792	0	51	51
1	52	1169.1772151898733	198.49367088607596	0	52	52
1	53	1853.4571428571428	199.88571428571427	0	53	53
1	54	2089.0777777777776	201.82222222222222	0	54	54
1	55	2099.7619047619046	200.47619047619048	0	55	55
1	56	2132.49	202.31	0	56	56
1	57	1154.9142857142858	207.0742857142857	0	57	57
1	58	2131.0188679245284	210.68867924528303	0	58	58
1	59	1119.060606060606	214.07575757575756	0	59	59
1	60	1818.8613861386139	212.95049504950495	0	60	60
1	61	1830.6190476190477	213.28571428571428	0	61	61
1	62	2132.153846153846	217.89743589743588	0	62	62
1	63	2103.9333333333334	216.93333333333334	0	63	63
1	64	1817.915254237288	218.16949152542372	0	64	64
1	65	1139.3271028037384	221.34579439252337	0	65	65
1	66	1211.4736842105262	223.85526315789474	0	66	66
1	67	1221.9738219895287	221.89528795811518	0	67	67
1	68	509.1020408163265	224.92857142857142	0	68	68
1	69	503.3731343283582	227.88059701492537	0	69	69
1	70	2124.4651162790697	225.2093023255814	0	70	70
1	71	1099.4583333333333	228.04166666666666	0	71	71
1	72	2134.3898305084745	228.1949152542373	0	72	72
1	73	563.6890756302521	230.54621848739495	0	73	73
1	74	1138.5	230.75	0	74	74
1	75	2158.6759581881533	235.5156794425087	0	75	75
1	76	1167.25	236.26666666666668	0	76	76
1	77	2135.5384615384614	237.35384615384615	0	77	77
1	78	1242.8688524590164	238.29508196721312	0	78	78
1	79	2101.4242424242425	239.42424242424244	0	79	79
1	80	594.9245283018868	241.69811320754718	0	80	80
1	81	2113.1511627906975	242.59302325581396	0	81	81
1	82	1144.6	243.14285714285714	0	82	82
1	83	557.1242236024844	244.43478260869566	0	83	83
1	84	593.1111111111111	246.88888888888889	0	84	84
1	85	2173.9	245.4	0	85	85
1	86	1163.4895833333333	246.92708333333334	0	86	86
1	87	2091.4112903225805	248.7016129032258	0	87	87
1	88	251.7319587628866	254.43298969072166	0	88	88
1	89	197.42241379310346	256.8965517241379	0	89	89
1	90	486.6861313868613	256.2919708029197	0	90	90
1	91	1234.3428571428572	258.0285714285714	0	91	91
1	92	1909.1818181818182	259.20454545454544	0	92	92
1	93	2109.7416267942585	256.6124401913876	0	93	93
1	94	1177.6153846153845	261.53846153846155	0	94	94
1	95	2178.21875	262.390625	0	95	95
1	96	249.73099415204678	264.15204678362574	0	96	96
1	97	481.2108843537415	265.72108843537416	0	97	97
1	98	524.1574074074074	262.962962962963	0	98	98
1	99	563.4130434782609	264.54347826086956	0	99	99
1	100	610.7045454545455	266.7386363636364	0	100	100
1	101	1144.516129032258	266.51612903225805	0	101	101
1	102	1222.2075471698113	267.1320754716981	0	102	102
1	103	470.12	268.2	0	103	103
1	104	601.2413793103449	270.55172413793105	0	104	104
1	105	534.3492063492064	271.46031746031747	0	105	105
1	106	1133.6367521367522	270.517094017094	0	106	106
1	107	610.0	281.4468085106383	0	107	107
1	108	1920.6038647342996	276.69565217391306	0	108	108
1	109	260.04651162790697	281.3982558139535	0	109	109
1	110	1913.4204545454545	283.2443181818182	0	110	110
1	111	274.67816091954023	283.5632183908046	0	111	111
1	112	286.73308270676694	283.90977443609023	0	112	112
1	113	551.9514563106796	283.4757281553398	0	113	113
1	114	2135.923076923077	285.5576923076923	0	114	114
1	115	543.6875	285.34375	0	115	115
1	116	1867.516	286.396	0	116	116
1	117	2147.7158469945357	287.26775956284155	0	117	117
1	118	1834.3741007194244	293.1223021582734	0	118	118
1	119	559.7171717171717	290.5353535353535	0	119	119
1	120	2171.36	293.34	0	120	120
