ImageNumber	ObjectNumber	Children_preNucleiWithEdges_Count	Intensity_IntegratedIntensityEdge_CY3	Intensity_IntegratedIntensityEdge_howfarfromSPEC	Intensity_IntegratedIntensity_CY3	Intensity_IntegratedIntensity_howfarfromSPEC	Intensity_LowerQuartileIntensity_CY3	Intensity_LowerQuartileIntensity_howfarfromSPEC	Intensity_MADIntensity_CY3	Intensity_MADIntensity_howfarfromSPEC	Intensity_MassDisplacement_CY3	Intensity_MassDisplacement_howfarfromSPEC	Intensity_MaxIntensityEdge_CY3	Intensity_MaxIntensityEdge_howfarfromSPEC	Intensity_MaxIntensity_CY3	Intensity_MaxIntensity_howfarfromSPEC	Intensity_MeanIntensityEdge_CY3	Intensity_MeanIntensityEdge_howfarfromSPEC	Intensity_MeanIntensity_CY3	Intensity_MeanIntensity_howfarfromSPEC	Intensity_MedianIntensity_CY3	Intensity_MedianIntensity_howfarfromSPEC	Intensity_MinIntensityEdge_CY3	Intensity_MinIntensityEdge_howfarfromSPEC	Intensity_MinIntensity_CY3	Intensity_MinIntensity_howfarfromSPEC	Intensity_StdIntensityEdge_CY3	Intensity_StdIntensityEdge_howfarfromSPEC	Intensity_StdIntensity_CY3	Intensity_StdIntensity_howfarfromSPEC	Intensity_UpperQuartileIntensity_CY3	Intensity_UpperQuartileIntensity_howfarfromSPEC	Location_Center_X	Location_Center_Y	Location_Center_Z	Mean_preNucleiWithEdges_Location_Center_X	Mean_preNucleiWithEdges_Location_Center_Y	Mean_preNucleiWithEdges_Location_Center_Z	Mean_preNucleiWithEdges_Number_Object_Number	Number_Object_Number	Parent_preNucleiWithEdges
1	62	0	0.10083161666989326	2.0	0.16311894450336695	2.0	0.012252994813024998	0.0	0.0011749444529414177	0.0	0.020965015447353953	1.5	0.013946746475994587	1.0	0.0161287859082222	1.0	0.012603952083736658	0.25	0.01359324537528058	0.16666666666666666	0.013260089792311192	0.0	0.011551079340279102	0.0	0.011551079340279102	0.0	0.0007088880337407791	0.4330127018922193	0.0015291265808243298	0.3726779962499649	0.015259021893143654	0.0	182.5	1145.5	0	nan	nan	nan	nan	62	34
1	63	0	0.11366445571184158	2.414213538169861	0.1498588565737009	3.414213538169861	0.013946746475994587	0.0	0.001113908365368843	0.0	0.01915306756364998	1.2490400329091074	0.016220340505242348	1.4142135381698608	0.01876859739422798	1.4142135381698608	0.014208056963980198	0.3017766922712326	0.01498588565737009	0.3414213538169861	0.01440451666712761	0.0	0.013015945442020893	0.0	0.013015945442020893	0.0	0.0009156824269753408	0.5328515923263234	0.0017835369710675784	0.5323828061762212	0.016823071986436844	1.0	184.8	1152.0	0	nan	nan	nan	nan	63	34
1	64	0	0.1103074699640274	45.43366527557373	0.1276569776237011	51.090519428253174	0.013324941275641322	5.164213538169861	0.0008468753658235073	0.7015621662139893	0.011594552990784669	0.11713166740718121	0.014663919806480408	7.071067810058594	0.01734950765967369	7.071067810058594	0.013788433745503426	5.679208159446716	0.014184108624855677	5.676724380917019	0.01428244449198246	5.656854152679443	0.01269550621509552	4.242640495300293	0.01269550621509552	4.242640495300293	0.0007233136344599873	0.8640570035185249	0.0013105419083212144	0.8146710462137999	0.014644846087321639	6.4031243324279785	191.0	1182.0	0	nan	nan	nan	nan	64	34
1	65	1	0.12945754267275333	0.0	0.19479667395353317	0.0	0.012710765469819307	0.0	0.0016937516629695892	0.0	0.06740589230972471	nan	0.01576256938278675	0.0	0.018295567482709885	0.0	0.012945754267275334	0.0	0.013914048139538084	0.0	0.013168536126613617	0.0	0.010727092623710632	0.0	0.010727092623710632	0.0	0.001440118629633674	0.0	0.0020967762264781893	0.0	0.01554894307628274	0.0	188.5	1193.2857142857142	0	230.87034146950495	1179.245271240402	0.0	34.0	65	34
1	66	0	0.6830853670835495	12.521451234817505	0.6830853670835495	12.521451234817505	0.17143511772155762	3.0	0.0029755085706710815	0.9262096881866455	0.015912285841089526	0.15106356826467685	0.1761501431465149	4.123105525970459	0.1761501431465149	4.123105525970459	0.17077134177088737	3.130362808704376	0.17077134177088737	3.130362808704376	0.1731746345758438	3.1622776985168457	0.16232547163963318	2.2360680103302	0.16232547163963318	2.2360680103302	0.005159472873547932	0.6714376946465304	0.005159472873547932	0.6714376946465304	0.1761501431465149	4.123105525970459	1607.75	1197.0	0	nan	nan	nan	nan	66	35
1	67	0	1.256382092833519	63.66626262664795	1.256382092833519	63.66626262664795	0.24038682132959366	12.439265489578247	0.01607538014650345	0.6160769462585449	0.04258787902765028	0.03953560097554019	0.2709849774837494	13.601470947265625	0.2709849774837494	13.601470947265625	0.2512764185667038	12.73325252532959	0.2512764185667038	12.73325252532959	0.2567025199532509	12.995387554168701	0.23315785825252533	11.704699516296387	0.23315785825252533	11.704699516296387	0.01550622888825577	0.6813836339667845	0.01550622888825577	0.6813836339667845	0.2703288346529007	13.536519289016724	1585.4	1199.8	0	nan	nan	nan	nan	67	35
1	68	0	0.06573586724698544	5.414213538169861	0.08999771252274513	6.414213538169861	0.010864423587918282	0.0	0.0008239876478910446	1.0	0.011154223782264534	0.691969437948906	0.012176699936389923	2.0	0.01257343403995037	2.0	0.010955977874497572	0.9023689230283102	0.011249714065343142	0.8017766922712326	0.011688411235809326	1.0	0.009338521398603916	0.0	0.009338521398603916	0.0	0.0010203026897705986	0.7204607197318582	0.00104334084495089	0.69437319013155	0.012176699936389923	1.4142135381698608	534.5	1203.0	0	nan	nan	nan	nan	68	36
1	69	0	2.277164876461029	54.41345691680908	2.539650559425354	60.73801231384277	0.24296177923679352	5.608058214187622	0.016464486718177795	0.8865470886230469	0.06678671031129976	0.16940292572495358	0.28213930130004883	7.6157732009887695	0.28213930130004883	7.6157732009887695	0.253018319606781	6.045939657423231	0.2539650559425354	6.0738012313842775	0.26141756772994995	6.324555397033691	0.22426185011863708	4.123105525970459	0.22426185011863708	4.123105525970459	0.01789925151831694	1.0551204960407343	0.01721661034086887	1.0044589293649606	0.26903945207595825	6.95965313911438	1570.9	1204.8	0	nan	nan	nan	nan	69	35
1	70	0	4.656214207410812	107.84060430526733	8.548577070236206	190.57578563690186	0.32918668538331985	6.479394197463989	0.017242684960365295	1.2705738544464111	0.08110763365641126	0.2825435875218722	0.3640039563179016	10.0	0.37502098083496094	10.0	0.3325867291007723	7.702900307519095	0.34194308280944824	7.623031425476074	0.34718088805675507	7.8102498054504395	0.3029831349849701	5.0	0.3029831349849701	5.0	0.021747419230124108	1.7178593401187543	0.022056524798224217	1.459243523294935	0.3601968288421631	8.858785390853882	1584.2	1206.24	0	nan	nan	nan	nan	70	35
1	71	0	2.4338445216417313	93.4082555770874	3.0803540349006653	115.4082555770874	0.19470130652189255	7.0	0.014686807990074158	1.0	0.15197621790188312	0.20831099434506153	0.24498359858989716	10.0	0.24498359858989716	10.0	0.20282037680347761	7.784021298090617	0.20535693566004434	7.69388370513916	0.21486228704452515	8.0	0.16072328388690948	6.0	0.16072328388690948	6.0	0.0257128070986928	1.319979695528903	0.023882764895622167	1.2127739708550949	0.22150378301739693	9.013846397399902	1566.7333333333333	1207.6666666666667	0	nan	nan	nan	nan	71	35
